Data Timestamp      ,q,V_ref,Alpha,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,P 21,P 22,P 23,P 24,Notes ,,,,,,,,,,
[yyyymmdd hh:mm:ss.sss],[mbar],[m/s],[deg],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],,p1 ,p2,p3,p4,p5,p6p,p7,p8,p9,p10
20200217 11:27:14.156,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.7,1011.7,1011.7,1011.7,1011.8,,,,,,,,,,,
20200217 11:27:14.359,0.5,9,36.1,1010.7,1011,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.6,1011.6,1011.6,1011.6,1011.7,,,,,,,,,,,
20200217 11:27:14.562,0.5,9,36.1,1010.7,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1010.9,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.6,1011.6,1011.6,1011.6,1011.9,,,,,,,,,,,
20200217 11:27:14.781,0.5,9,36.1,1010.7,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.6,1011.6,1011.5,1011.5,1011.8,,,,,,,,,,,
20200217 11:27:14.984,0.5,9,36.1,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011,1011.1,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.6,1011.5,1011.7,,,,,,,,,,,
20200217 11:27:15.203,0.5,9,36.1,1010.7,1010.9,1010.9,1011,1010.9,1010.9,1010.9,1010.9,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.7,1011.5,1011.5,1011.6,1011.9,,,,,,,,,,,
20200217 11:27:15.421,0.5,9,36.1,1010.7,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.1,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.6,1011.7,1011.7,1011.7,1011.5,1011.7,1011.6,1011.8,,,,,,,,,,,
20200217 11:27:15.625,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.6,1011.7,1011.7,1011.7,1011.5,1011.8,1011.6,1011.7,,,,,,,,,,,
20200217 11:27:15.828,0.5,9,36.1,1010.7,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.6,1011.6,1011.7,1011.5,1011.5,1011.6,,,,,,,,,,,
20200217 11:27:16.031,0.5,9,36.1,1010.7,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.6,1011.7,1011.7,1011.6,1011.6,1011.6,1011.6,1011.7,,,,,,,,,,,
20200217 11:27:16.250,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.8,1010.9,1010.9,1011,1011,1011.6,1011.7,1011.6,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.6,1011.5,1011.5,1011.5,1011.8,,,,,,,,,,,
20200217 11:27:16.453,0.5,9,36.1,1010.6,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.1,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.7,1011.7,1011.6,1011.6,1011.5,1011.7,1011.5,1011.7,,,,,,,,,,,
20200217 11:27:16.671,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011,1011.6,1011.6,1011.6,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.6,1011.6,1011.7,1011.5,1011.6,,,,,,,,,,,
20200217 11:27:16.875,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011,1011.6,1011.6,1011.6,1011.6,1011.7,1011.6,1011.6,1011.7,1011.7,1011.6,1011.5,1011.6,1011.5,1011.8,,,,,,,,,,,
20200217 11:27:17.078,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.8,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.7,1011.6,1011.7,1011.6,1011.7,1011.7,1011.6,1011.6,1011.4,1011.5,1011.7,1011.6,,,,,,,,,,,
20200217 11:27:17.281,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.6,1011.6,1011.6,1011.7,1011.6,1011.7,1011.7,1011.7,1011.6,1011.5,1011.5,1011.7,1011.7,,,,,,,,,,,
20200217 11:27:17.500,0.5,9,36.1,1010.7,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.7,1011.6,1011.7,1011.6,1011.6,1011.7,1011.7,1011.7,1011.5,1011.5,1011.5,1011.6,,,,,,,,,,,
20200217 11:27:17.703,0.5,9,36.1,1010.7,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.6,1011.7,1011.7,1011.7,1011.6,1011.6,1011.5,1011.7,,,,,,,,,,,
20200217 11:27:17.921,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.6,1011.6,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.6,1011.7,1011.4,1011.5,1011.6,,,,,,,,,,,
20200217 11:27:18.125,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.7,1011.6,1011.5,1011.6,1011.7,,,,,,,,,,,
20200217 11:27:18.328,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.8,1010.9,1010.8,1010.9,1010.9,1011.6,1011.6,1011.6,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.6,1011.5,1011.5,1011.4,1011.7,,,,,,,,,,,
